model_name,normalized,feature_shape,accuracy,precision_co,precision_fp,recall_co,recall_fp,f1_co,f1_fp
baseline,N,0,0.8587,0,0.8587,0,1,0,0.924
log_mod1,Y,98,0.8812,0.651,0.8998,0.3438,0.9697,0.4499,0.9334
log_mod2,Y,27,0.8812,0.644,0.9014,0.3567,0.9675,0.4592,0.9333
log_mod_2_threshold,Y,27,0.8658,0.5255,0.9225,0.5216,0.9225,0.5235,0.9219
log_mod3,Y,27,0.8815,0.6531,0.8999,0.3448,0.9698,0.4513,0.9336
log_mod3_smote,Y,27,0.7799,0.3683,0.9555,0.7791,0.7801,0.5002,0.8589
nb,Y,94,0.8582,0.4982,0.9104,0.4461,0.926,0.4707,0.9181
nb_p,Y,116,0.8981,0.7403,0.9122,0.43,0.9752,0.544,0.9426
log_mod1_p,Y,116,0.9855,0.9804,0.9863,0.9159,0.997,0.9471,0.9916
log_mod2_p,Y,30,0.9558,0.8919,0.9649,0.7823,0.9844,0.8335,0.9745
